"","Date","HomeTeam","AwayTeam","FTHG","FTAG","B365H","B365D","B365A","BWH","BWD","BWA","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","WHH","WHD","WHA"
"371","19/05/13","Chelsea","Everton",2,1,1.7,4,5.5,1.65,3.75,5,1.65,3.75,5,1.5,4,6.1,1.67,3.75,5,1.73,3.6,4.8
"380","19/05/13","Wigan","Aston Villa",2,2,2.15,3.6,3.6,2,3.5,3.5,2,3.5,3.5,2.1,3.3,3.3,2.05,3.5,3.4,2.15,3.3,3.4
"369","14/05/13","Arsenal","Wigan",4,1,1.4,5.5,8,1.33,5.25,7.75,1.33,5.25,7.75,1.35,5,7.1,1.36,5,8,1.4,4.33,8.5
"363","12/05/13","Fulham","Liverpool",1,3,3.9,3.6,2.05,3.7,3.5,1.95,3.7,3.5,1.95,3.2,3.3,2.15,3.75,3.6,1.91,3.5,3.3,2.1
"361","11/05/13","Aston Villa","Chelsea",1,2,4.5,3.8,1.85,4.33,3.75,1.75,4.33,3.75,1.75,4.3,3.8,1.7,4.33,3.6,1.8,4.5,3.3,1.85
"360","08/05/13","Chelsea","Tottenham",2,2,1.95,3.75,4,1.87,3.6,3.9,1.87,3.6,3.9,1.8,3.5,4.2,1.95,3.6,3.6,1.95,3.3,4
"355","05/05/13","Liverpool","Everton",0,0,1.95,3.6,4.2,1.95,3.4,3.9,1.95,3.4,3.9,2,3.3,3.6,1.95,3.5,3.75,1.95,3.2,4.2
"356","05/05/13","Man United","Chelsea",0,1,2.2,3.5,3.5,2.15,3.5,3.2,2.15,3.5,3.2,2.1,3.3,3.3,2.2,3.4,3.2,2.25,3,3.5
"344","28/04/13","Arsenal","Man United",1,1,2.25,3.6,3.3,2.1,3.5,3.3,2.1,3.5,3.3,2,3.4,3.5,2.25,3.5,3,2.25,3.2,3.2
"338","27/04/13","Everton","Fulham",1,0,1.5,4.5,7.5,1.45,4.1,7.5,1.45,4.1,7.5,1.55,3.9,5.6,1.5,4,7,1.53,3.75,7
"343","27/04/13","Wigan","Tottenham",2,2,3.8,3.6,2.05,3.8,3.5,1.95,3.8,3.5,1.95,3.8,3.45,1.9,3.6,3.6,1.95,3.5,3.3,2.1
"337","22/04/13","Man United","Aston Villa",3,0,1.25,6.75,13,1.22,6.75,10.5,1.22,6.75,10.5,1.25,5.5,10.3,1.25,6,10.5,1.29,5.5,9.5
"335","21/04/13","Liverpool","Chelsea",2,2,2.15,3.6,3.6,2.05,3.5,3.4,2.05,3.5,3.4,2.2,3.3,3.1,2.2,3.3,3.25,2.2,3.3,3.25
"336","21/04/13","Tottenham","Man City",3,1,3.25,3.6,2.3,3.2,3.25,2.25,3.2,3.25,2.25,2.9,3.3,2.3,3,3.4,2.29,3.2,3.2,2.3
"328","20/04/13","Fulham","Arsenal",0,1,5,4,1.75,4.75,3.8,1.7,4.75,3.8,1.7,4.2,3.5,1.8,4.5,3.75,1.75,4.5,3.5,1.8
"325","17/04/13","Fulham","Chelsea",0,3,4.75,3.8,1.8,4.5,3.8,1.72,4.5,3.8,1.72,3.8,3.45,1.9,4.33,3.4,1.83,4.5,3.5,1.8
"326","17/04/13","Man City","Wigan",1,0,1.25,6.5,14,1.23,6,11.5,1.23,6,11.5,1.27,5.5,9,1.25,6,12,1.22,6,12
"324","16/04/13","Arsenal","Everton",0,0,1.75,3.9,5,1.7,3.8,4.75,1.7,3.8,4.75,1.8,3.5,4.2,1.75,3.75,4.5,1.75,3.75,4.5
"318","13/04/13","Aston Villa","Fulham",1,1,2.3,3.3,3.5,2.25,3.2,3.25,2.25,3.2,3.25,2.2,3.3,3.1,2.2,3.3,3.25,2.3,3.1,3.3
"316","08/04/13","Man United","Man City",1,2,2.3,3.5,3.3,2.2,3.4,3.2,2.2,3.4,3.2,2,3.3,3.6,2.2,3.4,3.2,2.3,3,3.4
"315","07/04/13","Tottenham","Everton",2,2,2.2,3.4,3.6,2.25,3.25,3.2,2.25,3.25,3.2,2.1,3.3,3.3,2.2,3.3,3.2,2.2,3.2,3.4
"305","31/03/13","Aston Villa","Liverpool",1,2,5,4,1.75,4.75,3.8,1.7,4.75,3.8,1.7,4.2,3.5,1.8,4.33,3.6,1.8,4.8,3.5,1.75
"295","17/03/13","Tottenham","Fulham",0,1,1.5,4.5,7.5,1.48,4.25,6.5,1.48,4.25,6.5,1.55,3.9,5.6,1.53,4.2,6,1.53,3.6,7.5
"288","16/03/13","Everton","Man City",2,0,3.9,3.6,2.05,3.8,3.3,2,3.8,3.3,2,3.3,3.3,2.1,3.5,3.4,2.05,3.75,3.1,2.1
"285","10/03/13","Liverpool","Tottenham",3,2,1.95,3.8,4,1.85,3.8,3.8,1.85,3.8,3.8,2,3.3,3.6,1.9,3.6,3.75,1.95,3.3,4
"280","04/03/13","Aston Villa","Man City",0,1,7.5,4.5,1.44,7.5,4.25,1.44,7.5,4.25,1.44,5.6,3.9,1.55,5.5,4.33,1.53,6,4.33,1.5
